eval_id	stage	status	mean_edge	incumbent_mean_edge	delta_vs_incumbent	strategy_name	label	description	snapshot_path
screen_0001	screen	seed	431.488083			LatentStateIncumbentGapAwareV10QuietIdle	baseline	Fresh seed of the live quiet-idle frontier for the Apr 02 screen breakout round.	artifacts/hill_climb/apr02-screen430-2120/snapshots/c4c7154e002205d55cabbabfc3d2564cd0e1470ac55666ac536438a53c95ab19.sol
screen_0002	screen	discard	441.866406	431.488083	10.378322	LatentStateQuietReversionTilt	quiet-reversion-tilt-v1	Introduce explicit dangerSignal and reversionSignal state to drive calm rebates plus directional tilt without broad arb overlays.	artifacts/hill_climb/apr02-screen430-2120/snapshots/ffeda046e7dbd06ba230dd1f83c173ef73a211e9e6ba82817d445b572bade9d2.sol
screen_0003	screen	discard	442.276020	431.488083	10.787937	LatentStateQuietReversionTilt	quiet-reversion-tilt-v2	Keep the dangerSignal/reversionSignal state model and lower the base fee from 61 to 60 bps.	artifacts/hill_climb/apr02-screen430-2120/snapshots/9cf014348f9e456fc34eb42ab9edb76ce3d70fdf7a07201f406264f17f12a9e3.sol
screen_0004	screen	discard	443.863694	431.488083	12.375611	LatentStateQuietReversionTilt	state-consistent-surface-v2	Replace remaining cooldown-threshold side tweaks with danger/reversion-driven persistence and passive rebate terms; lower base fee to 59 bps.	artifacts/hill_climb/apr02-screen430-2120/snapshots/a2c3340955bdf801ee8c63f497c2e7face807ac3f05a2afd42027b0e4d8c62a2.sol
screen_0005	screen	discard	444.443103	431.488083	12.955020	LatentStateQuietReversionTilt	state-consistent-surface-v3	Keep the state-consistent side-pricing cleanup and lower the base fee from 59 to 58 bps.	artifacts/hill_climb/apr02-screen430-2120/snapshots/d2ca23968bb65dac05d2bdb4c1fef43eec6c426157786aa2fceb0d81eab6eb3c.sol
screen_0006	screen	discard	445.255079	431.488083	13.766996	LatentStateQuietReversionTilt	state-consistent-surface-v5	Keep the state-consistent side-pricing cleanup and lower the base fee from 58 to 56 bps after validated 57/56 worker refinements.	artifacts/hill_climb/apr02-screen430-2120/snapshots/a690898f589a4b7d6586941c1478f3afb9efc9f872a046173986863e23be3a5b.sol
screen_0007	screen	discard	446.194492	431.488083	14.706408	LatentStateQuietReversionTilt	fee-ladder-tail-v2	Keep the state-consistent danger/reversion surface and lower the base fee from 56 to 54 bps after validated worker ladder probes.	artifacts/hill_climb/apr02-screen430-2120/snapshots/2b1f7d54e8d51f44f3754a0a637b3adb4640b4197cfb2fdf2ced7d1a36c9bd7c.sol
screen_0008	screen	discard	447.368855	431.488083	15.880771	LatentStateQuietReversionTilt	fee-ladder-tail-v4	Keep the state-consistent danger/reversion surface and lower the base fee from 54 to 52 bps after validated worker ladder probes.	artifacts/hill_climb/apr02-screen430-2120/snapshots/692e631ccba01cc5b7f8081fc0ebb8ca684686f063dfeef22405aa556b8e1f63.sol
screen_0009	screen	discard	447.615260	431.488083	16.127177	LatentStateQuietReversionTilt	fee-ladder-tail-v5	Keep the state-consistent danger/reversion surface and lower the base fee from 52 to 51 bps.	artifacts/hill_climb/apr02-screen430-2120/snapshots/2e16385e2a9d96ec71ae6377c36659b8467a636dad321c581f61cf5fe9ea4a9e.sol
screen_0010	screen	discard	447.870984	431.488083	16.382900	LatentStateQuietReversionTilt	fee-ladder-tail-v6	Keep the state-consistent danger/reversion surface and lower the base fee from 51 to 50 bps.	artifacts/hill_climb/apr02-screen430-2120/snapshots/3ece5b8aa17cd88b1adb8ef7abde03ab3d6fcdb9386b27643ebf0819be2a42d9.sol
screen_0011	screen	discard	448.382654	431.488083	16.894570	LatentStateQuietReversionTilt	fee-ladder-tail-v7	Keep the state-consistent danger/reversion surface and lower the base fee from 50 to 49 bps, stopping before the worker-probed 48 bps decline.	artifacts/hill_climb/apr02-screen430-2120/snapshots/51bbcf7d77ec2e7ee344948e2d5e664a0a0311a7aa8ffeeed38474fc4492ea29.sol
